"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL202471";"";"None";"316.38";"0";"2.93";"13";"CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O";"IC50";"'='";"2670.0";"nM";"5.57";"";"";"UO_0000065";"17.62";"0.36";"2.64";"5.66";"1";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";"";"";""
"CHEMBL104126";"";"None";"221.30";"0";"2.60";"24";"CC(C)CC(C)OC(=O)Cc1ccncc1";"IC50";"'='";"9700.0";"nM";"5.01";"";"";"UO_0000065";"22.65";"0.43";"2.41";"12.79";"0";"CHEMBL663239";"In vitro inhibition of human placental Cytochrome P450 19A1.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125012";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";""
"CHEMBL283196";"ALPHA-NAPHTHOFLAVONE";"None";"272.30";"0";"4.61";"36";"O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"28.27";"0.50";"3.09";"25.48";"0";"CHEMBL661762";"Binding affinity was measured on Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124997";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";""
"CHEMBL304770";"";"None";"330.47";"0";"4.45";"5b";"CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"IC50";"'='";"0.26";"nM";"9.59";"";"";"UO_0000065";"29.00";"0.55";"5.14";"22.10";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL304770";"";"None";"330.47";"0";"4.45";"5b";"CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"Ki";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"23.06";"0.43";"3.17";"17.57";"0";"CHEMBL666403";"Apparent inhibition constant (Ki) against Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL73219";"";"None";"344.58";"1";"6.51";"15d";"CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12";"IC50";"'>'";"50.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL243960";"";"None";"338.41";"0";"4.83";"1c";"O=C(c1ccc(-c2ccccc2)cc1)c1ccccc1Cn1ccnc1";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"19.46";"0.35";"1.76";"18.87";"0";"CHEMBL889228";"Inhibition of CYP19 in human placental microsomes";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145461";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";""
"CHEMBL204183";"";"None";"328.39";"0";"2.70";"17";"CN(c1ccc([N+](=O)[O-])cc1OC1CCCCC1)S(C)(=O)=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL861888";"Inhibition of aromatase activity in human placental microsomes at 5 uM";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL274387";"";"None";"274.30";"0";"1.75";"10";"CC(C)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL861888";"Inhibition of aromatase activity in human placental microsomes at 5 uM";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL202470";"";"None";"372.49";"0";"4.12";"23";"CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL861888";"Inhibition of aromatase activity in human placental microsomes at 5 uM";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL154104";"";"None";"346.54";"1";"5.17";"6";"CCSC1=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CCC1=O";"Inhibition";"'='";"26.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657130";"Inhibition of Cytochrome P450 19A1 at the concentration of 0.25 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123161";"1";"Scientific Literature";"J Med Chem";"1986";"None";"";"";""
"CHEMBL66867";"";"None";"265.36";"0";"3.71";"5";"COc1ccc2c(c1)C1C(CC2)C1(C)c1ccncc1";"IC50";"'='";"370.0";"nM";"6.43";"";"";"UO_0000065";"24.24";"0.44";"2.72";"29.08";"0";"CHEMBL662434";"Inhibition of Human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128393";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
"CHEMBL494515";"";"None";"339.39";"1";"5.14";"26";"COc1ccc(C(=O)c2cc3ccccc3cc2-c2cccnc2)cc1";"Inhibition";"'='";"19.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL971590";"Inhibition of human placental microsome CYP19 at 500 nM";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140083";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL389924";"(RAC)-ABYSSINONE II";"None";"324.38";"0";"4.31";"rac-abyssinone II";"CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"19.18";"0.35";"1.91";"9.32";"0";"CHEMBL958768";"Inhibition of aromatase by radiometric method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157393";"1";"Scientific Literature";"J Nat Prod";"2008";"None";"";"";""
"CHEMBL27591";"";"None";"286.38";"0";"2.48";"2d";"CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"26.22";"0.49";"5.03";"11.84";"0";"CHEMBL661153";"In vitro inhibition of human placental Cytochrome P450 19A aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125660";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL70436";"";"None";"300.49";"1";"5.54";"18b";"CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"IC50";"'='";"0.11";"nM";"9.96";"";"";"UO_0000065";"33.14";"0.62";"4.42";"58.34";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL70436";"";"None";"300.49";"1";"5.54";"18b";"CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"Ki";"'='";"43.0";"nM";"7.37";"";"";"UO_0000065";"24.52";"0.46";"1.83";"43.15";"0";"CHEMBL666403";"Apparent inhibition constant (Ki) against Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL72538";"";"None";"384.65";"1";"7.89";"19e";"CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"Ki";"'='";"2600.0";"nM";"5.58";"";"";"UO_0000065";"14.52";"0.27";"-2.30";"32.72";"0";"CHEMBL666403";"Apparent inhibition constant (Ki) against Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL2105261";"PLOMESTANE";"2.0";"310.44";"0";"4.09";"5";"C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"IC50";"'='";"56.2";"nM";"7.25";"";"";"UO_0000065";"23.35";"0.43";"3.16";"21.24";"0";"CHEMBL663238";"Inhibition of human placental microsome Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130177";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL2105261";"PLOMESTANE";"2.0";"310.44";"0";"4.09";"MDL-18962";"C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"kinact";"'='";"0.0011";"s-1";"";"";"";"";"";"";"";"";"0";"CHEMBL666407";"In vitro inactivation of human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124665";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";""
"CHEMBL377626";"";"None";"357.37";"0";"3.59";"2c";"COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(C#N)cc3)oc2c1";"IC50";"'='";"1819.7";"nM";"5.74";"";"";"UO_0000065";"16.06";"0.29";"2.15";"7.08";"0";"CHEMBL870913";"Inhibition of CYP19";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138935";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL389924";"(RAC)-ABYSSINONE II";"None";"324.38";"0";"4.31";"rac-abyssinone II";"CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O";"IC50";"'='";"62000.0";"nM";"4.21";"";"";"UO_0000065";"12.97";"0.24";"-0.10";"6.30";"0";"CHEMBL958769";"Inhibition of aromatase by fluorimetric high throughput method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157393";"1";"Scientific Literature";"J Nat Prod";"2008";"None";"";"";""
"CHEMBL2113269";"";"None";"328.45";"0";"3.86";"8b";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@H]3CO3)[C@@H]1CCC2=O";"Ki";"'='";"86.0";"nM";"7.07";"";"";"UO_0000065";"21.51";"0.40";"3.21";"15.14";"0";"CHEMBL664584";"Inhibition of human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125662";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL323197";"MANGOSTIN";"None";"410.47";"1";"5.09";"8";"COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C";"Activity";"'='";"59.4";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL937821";"Inhibition of aromatase over-expressed in human SKBR3 cells at 50 uM relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155025";"1";"Scientific Literature";"J Nat Prod";"2008";"CHEMBL3308062";"";"";""
"CHEMBL24946";"";"None";"342.52";"1";"5.50";"6d";"CCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12";"Ki";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"23.13";"0.43";"2.42";"23.20";"0";"CHEMBL664892";"Binding affinity for human placental microsome aromatase Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127822";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";""
"CHEMBL314991";"";"None";"232.28";"0";"1.51";"Page 2677";"CC[C@]1(c2ccncc2)CCC(=O)N(C)C1=O";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"19.47";"0.36";"3.01";"9.00";"0";"CHEMBL663079";"Inhibition of Cytochrome P450 19A1 in human placenta";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125058";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";""
"CHEMBL193343";"";"None";"249.31";"0";"4.30";"BDBM8908";"CCOc1ccc2cc(-c3cccnc3)ccc2c1";"IC50";"'='";"6639.0";"nM";"5.18";"";"384959";"UO_0000065";"20.77";"0.37";"0.88";"23.41";"0";"CHEMBL3888233";"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886626";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL195996";"";"None";"194.24";"0";"3.03";"BDBM8916";"c1ccc2cc(-n3ccnc3)ccc2c1";"IC50";"'='";"2821.0";"nM";"5.55";"";"384964";"UO_0000065";"28.57";"0.51";"2.52";"31.14";"1";"CHEMBL3888233";"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886626";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL206070";"";"None";"221.30";"0";"4.13";"BDBM8895";"CC1CC(c2cccnc2)=Cc2ccccc21";"IC50";"'='";"3551.0";"nM";"5.45";"";"384972";"UO_0000065";"24.63";"0.44";"1.32";"42.28";"1";"CHEMBL3888233";"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886626";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL24897";"";"None";"376.54";"1";"5.56";"5g";"CC12CCC3C(C[C@@H](Cc4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O";"Ki";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"19.12";"0.35";"1.64";"21.09";"0";"CHEMBL664892";"Binding affinity for human placental microsome aromatase Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127822";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";""
