activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,73147,[],CHEMBL644102,Reversible inhibition of Human AchE,B,BAO_0000190,BAO_0000357,single protein format,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL297316,,CHEMBL1183445,,False,http://www.openphacts.org/units/Nanomolar,76276,>,1,True,>,,IC50,nM,,1000000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,1.0
,73234,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg. Med. Chem. Lett.,1995.0,"{'bei': '13.95', 'le': '0.26', 'lle': '3.55', 'sei': '9.46'}",CHEMBL65667,,CHEMBL65667,5.42,False,http://www.openphacts.org/units/Nanomolar,112508,=,1,True,=,,IC50,nM,,3800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,3.8
,73235,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg. Med. Chem. Lett.,1995.0,"{'bei': '15.20', 'le': '0.29', 'lle': '2.80', 'sei': '12.92'}",CHEMBL431519,,CHEMBL431519,7.40,False,http://www.openphacts.org/units/Nanomolar,112505,=,1,True,=,,IC50,nM,,40.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.04
Not Determined,74190,[],CHEMBL644103,Compound was evaluated for Reversible inhibition of Human AchE; Not determined,B,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C(=O)/C(=N/O)SCCCN(C)C)cc1.O=C(O)C(=O)O,,,CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL14598,,CHEMBL1178190,,False,,76284,,1,False,,,IC50,,,,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,,,
,74194,[],CHEMBL644102,Reversible inhibition of Human AchE,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL296429,,CHEMBL1183431,,False,http://www.openphacts.org/units/Nanomolar,76291,>,1,True,>,,IC50,nM,,1000000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,1.0
,74492,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,,,CHEMBL1126972,J. Med. Chem.,1993.0,"{'bei': '17.73', 'le': '0.32', 'lle': '3.59', 'sei': '7.82'}",CHEMBL154972,,CHEMBL154972,7.14,False,http://www.openphacts.org/units/Nanomolar,301758,=,1,True,=,,IC50,nM,,73.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,73.0
,74496,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,,,CHEMBL1126972,J. Med. Chem.,1993.0,"{'bei': '14.46', 'le': '0.29', 'lle': '3.40', 'sei': '5.94'}",CHEMBL152722,,CHEMBL152722,5.51,False,http://www.openphacts.org/units/Nanomolar,301736,=,1,True,=,,IC50,nM,,3100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,3100.0
,75262,[],CHEMBL644102,Reversible inhibition of Human AchE,B,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL544022,,CHEMBL1192735,,False,http://www.openphacts.org/units/Nanomolar,76282,=,1,True,=,,IC50,nM,,520000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.52
,75661,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,,,CHEMBL1126972,J. Med. Chem.,1993.0,"{'bei': '14.47', 'le': '0.27', 'lle': '5.07', 'sei': '5.66'}",CHEMBL349127,,CHEMBL349127,5.35,False,http://www.openphacts.org/units/Nanomolar,301754,=,1,True,=,,IC50,nM,,4500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,4500.0
,75663,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,,,CHEMBL1126972,J. Med. Chem.,1993.0,"{'bei': '16.70', 'le': '0.31', 'lle': '2.81', 'sei': '8.91'}",CHEMBL156659,,CHEMBL156659,5.92,False,http://www.openphacts.org/units/Nanomolar,301735,=,1,True,=,,IC50,nM,,1200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,1200.0
,77570,[],CHEMBL644102,Reversible inhibition of Human AchE,B,BAO_0000190,BAO_0000357,single protein format,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL45118,,CHEMBL1178827,,False,http://www.openphacts.org/units/Nanomolar,76275,>,1,True,>,,IC50,nM,,1000000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,1.0
